mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012575960159301758,0.0026857817383567823,0.006304407119750976,0.0025901065631467424,5,2,8,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 8, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9230769230769231,0.02305074391582751,33
0.016502189636230468,0.0025705281931092477,0.005884361267089844,0.0008819861958216466,2,2,8,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 8, 'criterion': 'entropy'}",0.9340659340659341,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.9120879120879121,0.9318681318681319,0.014578570507056717,14
0.012860488891601563,0.0030939360227073658,0.0060879230499267575,0.0015552471044787048,2,1,5,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.967032967032967,0.9120879120879121,0.9340659340659341,0.9252747252747252,0.023466106048420466,31
0.01618680953979492,0.0030370303890443844,0.007471132278442383,0.0014901462811278505,10,2,7,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 7, 'criterion': 'entropy'}",0.978021978021978,0.9010989010989011,0.978021978021978,0.945054945054945,0.9340659340659341,0.9472527472527472,0.028991002106094305,1
0.011953592300415039,0.002773375531005572,0.007012653350830078,0.0016667313151944954,10,2,3,gini,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 3, 'criterion': 'gini'}",0.945054945054945,0.9010989010989011,0.945054945054945,0.9340659340659341,0.9340659340659341,0.9318681318681319,0.016150481820548408,14
0.01514577865600586,0.0010370944447287951,0.005562400817871094,0.000825670748853545,2,4,10,gini,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'criterion': 'gini'}",0.9230769230769231,0.9120879120879121,0.9230769230769231,0.9560439560439561,0.9010989010989011,0.9230769230769231,0.01838813245129838,33
0.01670079231262207,0.0018381087354692755,0.006849050521850586,0.0015349737191830564,10,1,3,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 3, 'criterion': 'entropy'}",0.978021978021978,0.9010989010989011,0.945054945054945,0.945054945054945,0.9230769230769231,0.9384615384615385,0.025630557779539757,8
0.015224170684814454,0.0015599732724748188,0.0055296897888183595,0.0009550326377680068,5,4,5,gini,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'gini'}",0.9230769230769231,0.9120879120879121,0.9230769230769231,0.9560439560439561,0.9230769230769231,0.9274725274725275,0.01490621974313247,26
0.016548824310302735,0.0007719098387351353,0.006103658676147461,0.0015054678759839097,2,1,3,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'criterion': 'entropy'}",0.978021978021978,0.9120879120879121,0.945054945054945,0.945054945054945,0.9340659340659341,0.9428571428571428,0.0213084828897421,5
0.014864015579223632,0.001131769970435181,0.006110668182373047,0.0011887021096968716,5,4,8,gini,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 8, 'criterion': 'gini'}",0.9230769230769231,0.9120879120879121,0.9230769230769231,0.9560439560439561,0.9010989010989011,0.9230769230769231,0.01838813245129838,33
